# 915 nm PL_38 Chip Heater Calibration Heater 12
# Chip Num PL 38 Down Structure
# Heater No = 12
# Current from = 0
# Current step = 10
# Current to   = 1300
# sleeptime (ms) = 900
# Input mode= 1
# Temp Room_ = 21.7
# Temp Chip_ = 19
# Date 2024-11-29 16:16:33
#Current  diode_1  diode_2  diode_3  diode_4 
       0    30.85     5.40    10.48    12.25 
      10    30.81     5.43    10.51    12.24 
      20    30.72     5.46    10.59    12.22 
      30    30.74     5.49    10.63    12.15 
      40    30.67     5.56    10.75    12.05 
      50    30.58     5.61    10.86    12.00 
      60    30.48     5.69    10.98    11.94 
      70    30.36     5.78    11.13    11.81 
      80    30.28     5.89    11.30    11.71 
      90    30.07     6.00    11.49    11.57 
     100    30.02     6.14    11.71    11.44 
     110    29.77     6.28    11.96    11.26 
     120    29.71     6.43    12.24    11.08 
     130    29.50     6.61    12.49    10.91 
     140    29.22     6.80    12.83    10.70 
     150    29.05     7.01    13.15    10.51 
     160    28.74     7.24    13.52    10.28 
     170    28.40     7.50    13.89    10.05 
     180    28.16     7.77    14.29     9.80 
     190    27.77     8.05    14.71     9.53 
     200    27.48     8.35    15.19     9.25 
     210    27.08     8.69    15.66     8.97 
     220    26.68     9.03    16.15     8.64 
     230    26.31     9.38    16.66     8.41 
     240    25.83     9.81    17.19     8.08 
     250    25.38    10.20    17.75     7.75 
     260    24.82    10.58    18.33     7.39 
     270    24.29    11.09    18.92     7.06 
     280    23.77    11.62    19.50     6.72 
     290    23.12    12.14    20.05     6.37 
     300    22.47    12.70    20.72     6.01 
     310    21.83    13.30    21.31     5.64 
     320    21.19    13.90    21.91     5.30 
     330    20.41    14.58    22.54     4.95 
     340    19.70    15.34    23.19     4.59 
     350    18.89    16.06    23.85     4.24 
     360    18.14    16.83    24.45     3.91 
     370    17.32    17.60    25.12     3.58 
     380    16.48    18.47    25.66     3.26 
     390    15.67    19.36    26.29     2.96 
     400    14.76    20.36    26.68     2.67 
     410    13.88    21.21    27.34     2.40 
     420    12.96    22.28    27.70     2.13 
     430    12.09    23.17    28.18     1.90 
     440    11.19    24.12    28.57     1.69 
     450    10.33    25.10    28.89     1.50 
     460     9.46    26.11    29.19     1.36 
     470     8.56    27.09    29.38     1.23 
     480     7.82    28.07    29.57     1.12 
     490     7.02    29.24    29.61     1.04 
     500     6.23    30.07    29.78     1.01 
     510     5.48    30.98    29.81     1.00 
     520     4.75    32.21    29.56     1.01 
     530     4.09    33.39    29.31     1.06 
     540     3.52    34.35    29.20     1.14 
     550     2.98    35.45    28.94     1.26 
     560     2.53    36.28    28.79     1.40 
     570     2.14    37.35    28.23     1.55 
     580     1.83    38.13    27.62     1.75 
     590     1.60    38.84    26.85     1.94 
     600     1.50    39.45    26.17     2.17 
     610     1.50    39.91    25.34     2.42 
     620     1.61    40.42    24.57     2.67 
     630     1.82    40.74    23.53     2.93 
     640     2.17    40.82    22.50     3.20 
     650     2.62    40.74    21.53     3.46 
     660     3.23    40.61    20.47     3.72 
     670     3.95    40.31    19.41     3.96 
     680     4.74    40.16    18.10     4.17 
     690     5.76    39.40    17.15     4.40 
     700     6.85    38.77    16.07     4.61 
     710     8.05    37.97    15.05     4.77 
     720     9.36    37.18    14.01     4.91 
     730    10.58    36.28    13.07     5.03 
     740    12.08    35.08    12.21     5.15 
     750    13.66    34.02    11.35     5.25 
     760    15.26    32.61    10.57     5.34 
     770    17.08    30.98     9.95     5.40 
     780    18.83    29.43     9.32     5.45 
     790    20.59    27.94     8.72     5.49 
     800    21.98    26.58     8.34     5.53 
     810    23.90    24.60     7.81     5.58 
     820    25.39    23.09     7.42     5.62 
     830    27.12    21.40     6.97     5.71 
     840    28.36    20.08     6.72     5.84 
     850    29.50    18.68     6.42     6.01 
     860    30.27    17.67     6.24     6.30 
     870    30.78    16.76     6.10     6.65 
     880    31.49    15.93     5.82     7.02 
     890    32.07    15.23     5.47     7.40 
     900    32.22    14.96     5.21     7.98 
     910    32.46    14.84     4.84     8.51 
     920    32.01    15.09     4.53     9.24 
     930    31.10    15.64     4.24    10.14 
     940    30.62    16.31     3.78    10.80 
     950    29.34    17.34     3.33    11.65 
     960    27.97    18.67     2.91    12.62 
     970    26.34    20.23     2.43    13.44 
     980    24.42    22.26     2.01    14.49 
     990    22.77    24.11     1.57    15.06 
    1000    20.80    26.24     1.25    15.72 
    1010    18.73    28.58     1.02    16.19 
    1020    16.56    30.94     0.91    16.70 
    1030    14.52    33.31     0.98    16.79 
    1040    12.64    35.57     1.28    16.74 
    1050    10.55    37.99     1.74    16.68 
    1060     8.75    40.02     2.53    16.28 
    1070     7.04    42.28     3.51    15.67 
    1080     5.48    43.85     4.91    14.79 
    1090     4.08    45.18     6.61    13.57 
    1100     2.91    46.10     8.60    12.15 
    1110     1.96    46.35    10.75    10.64 
    1120     1.27    46.33    13.19     8.95 
    1130     0.75    45.81    15.92     7.34 
    1140     0.44    44.97    18.79     5.73 
    1150     0.36    43.76    21.62     4.25 
    1160     0.48    42.01    24.63     2.90 
    1170     0.79    40.12    27.37     1.82 
    1180     1.26    37.85    30.08     1.06 
    1190     1.86    35.17    32.38     0.69 
    1200     2.63    32.45    34.30     0.70 
    1210     3.30    29.42    35.40     1.45 
    1220     4.27    26.24    36.20     2.46 
    1230     5.08    23.21    36.03     4.27 
    1240     6.30    20.12    35.49     6.25 
    1250     7.13    17.25    34.12     9.27 
    1260     8.14    14.55    32.19    12.48 
    1270     9.24    12.10    29.63    16.05 
    1280     9.58    10.08    26.44    20.97 
    1290    10.51     8.33    23.03    25.02 
    1300    11.63     6.83    19.50    28.73 
