# 915 nm PL_38 Chip Heater Calibration Heater 10
# Chip Num PL 38 Down Structure
# Heater No = 10
# Current from = 0
# Current step = 10
# Current to   = 1300
# sleeptime (ms) = 900
# Input mode= 1
# Temp Room_ = 21.7
# Temp Chip_ = 19
# Date 2023-11-29 16:28:18
#Current  diode_1  diode_2  diode_3  diode_4 
       0    31.00     5.38    10.85    12.11 
      10    31.07     5.36    10.87    12.13 
      20    31.02     5.33    10.87    12.10 
      30    31.05     5.29    10.86    12.09 
      40    31.02     5.24    10.85    12.14 
      50    31.07     5.19    10.85    12.18 
      60    31.02     5.11    10.87    12.22 
      70    31.08     5.01    10.88    12.30 
      80    31.05     4.91    10.91    12.34 
      90    31.02     4.82    10.95    12.39 
     100    31.03     4.69    10.94    12.48 
     110    31.01     4.56    11.00    12.59 
     120    30.97     4.43    11.01    12.67 
     130    30.96     4.29    11.02    12.79 
     140    30.94     4.15    11.05    12.86 
     150    30.99     4.01    11.07    12.97 
     160    30.96     3.89    11.10    13.08 
     170    31.14     3.77    11.16    13.14 
     180    30.86     3.59    11.12    13.34 
     190    31.03     3.48    11.13    13.48 
     200    30.94     3.33    11.15    13.63 
     210    30.91     3.22    11.19    13.80 
     220    30.99     3.09    11.23    13.94 
     230    31.03     2.97    11.25    14.15 
     240    30.99     2.84    11.17    14.30 
     250    30.75     2.74    11.16    14.45 
     260    30.69     2.64    11.16    14.62 
     270    30.70     2.56    11.13    14.83 
     280    30.42     2.47    11.02    15.03 
     290    30.03     2.41    10.93    15.21 
     300    30.12     2.40    10.91    15.32 
     310    30.14     2.41    10.77    15.53 
     320    30.00     2.42    10.71    15.72 
     330    29.96     2.46    10.52    15.88 
     340    29.72     2.52    10.40    16.08 
     350    29.33     2.58    10.22    16.35 
     360    29.38     2.71    10.09    16.50 
     370    29.84     2.92     9.85    16.60 
     380    29.64     3.07     9.68    16.81 
     390    29.49     3.26     9.44    16.93 
     400    29.32     3.45     9.15    17.12 
     410    29.05     3.67     8.91    17.29 
     420    28.91     3.92     8.61    17.39 
     430    28.93     4.22     8.36    17.55 
     440    28.90     4.53     7.98    17.68 
     450    28.92     4.91     7.63    17.82 
     460    28.86     5.25     7.21    17.92 
     470    28.88     5.62     6.82    18.04 
     480    28.91     5.99     6.38    18.09 
     490    28.92     6.36     5.95    18.13 
     500    28.92     6.72     5.47    18.20 
     510    28.98     7.05     5.00    18.19 
     520    29.14     7.42     4.54    18.14 
     530    29.32     7.74     4.03    18.14 
     540    29.45     7.99     3.57    18.01 
     550    29.77     8.28     3.10    17.92 
     560    30.02     8.47     2.64    17.77 
     570    30.14     8.55     2.23    17.61 
     580    30.60     8.70     1.83    17.36 
     590    31.04     8.73     1.47    17.18 
     600    31.48     8.71     1.14    16.90 
     610    32.11     8.67     0.86    16.67 
     620    32.71     8.53     0.62    16.35 
     630    33.25     8.37     0.43    16.03 
     640    33.77     8.10     0.31    15.71 
     650    34.39     7.81     0.24    15.31 
     660    35.20     7.46     0.25    14.91 
     670    35.79     7.06     0.34    14.46 
     680    36.44     6.66     0.50    13.96 
     690    37.02     6.22     0.74    13.46 
     700    37.33     5.71     1.07    13.01 
     710    37.48     5.24     1.46    12.55 
     720    37.90     4.84     1.93    11.97 
