# 915 nm PL_38 Chip Heater Calibration Heater 12
# Chip Num PL 38 Down Structure
# Heater No = 12
# Current from = 0
# Current step = 10
# Current to   = 1300
# sleeptime (ms) = 900
# Input mode= 2
# Temp Room_ = 21.7
# Temp Chip_ = 19
# Date 2024-11-29 16:41:40
#Current  diode_1  diode_2  diode_3  diode_4 
       0     4.34    18.48    32.99     6.57 
      10     4.36    18.40    33.07     6.53 
      20     4.40    18.45    32.94     6.55 
      30     4.43    18.47    32.87     6.54 
      40     4.46    18.52    32.86     6.54 
      50     4.50    18.57    32.72     6.53 
      60     4.57    18.53    32.65     6.54 
      70     4.63    18.60    32.57     6.54 
      80     4.70    18.73    32.34     6.55 
      90     4.78    18.76    32.20     6.54 
     100     4.89    18.88    32.05     6.56 
     110     5.02    18.95    31.99     6.56 
     120     5.14    19.02    31.71     6.56 
     130     5.26    19.15    31.53     6.57 
     140     5.42    19.28    31.19     6.58 
     150     5.56    19.43    30.87     6.57 
     160     5.74    19.51    30.60     6.59 
     170     5.93    19.66    30.14     6.60 
     180     6.10    19.82    29.83     6.58 
     190     6.31    19.97    29.35     6.60 
     200     6.56    20.01    28.89     6.59 
     210     6.80    20.23    28.37     6.60 
     220     7.06    20.30    27.99     6.60 
     230     7.33    20.48    27.47     6.59 
     240     7.60    20.67    26.85     6.58 
     250     7.90    20.80    26.30     6.57 
     260     8.20    20.94    25.62     6.56 
     270     8.54    21.09    25.00     6.56 
     280     8.85    21.33    24.39     6.52 
     290     9.24    21.42    23.72     6.51 
     300     9.65    21.65    22.96     6.48 
     310    10.06    21.79    22.29     6.47 
     320    10.38    21.94    21.54     6.45 
     330    10.84    22.11    20.79     6.42 
     340    11.32    22.36    20.02     6.37 
     350    11.81    22.47    19.25     6.33 
     360    12.35    22.66    18.46     6.29 
     370    12.91    22.81    17.65     6.25 
     380    13.46    23.00    16.92     6.18 
     390    14.05    23.08    16.17     6.10 
     400    14.70    23.18    15.38     6.05 
     410    15.28    23.33    14.61     5.95 
     420    15.96    23.34    13.93     5.83 
     430    16.60    23.36    13.21     5.74 
     440    17.28    23.46    12.46     5.64 
     450    18.03    23.28    11.84     5.50 
     460    18.70    23.24    11.18     5.36 
     470    19.41    23.05    10.61     5.21 
     480    20.02    22.90    10.05     5.06 
     490    20.65    22.71     9.52     4.88 
     500    21.29    22.41     9.11     4.70 
