# 915 nm PL_38 Chip Heater Calibration Heater 12
# Chip Num PL 38 Down Structure
# Heater No = 12
# Current from = 0
# Current step = 10
# Current to   = 1300
# sleeptime (ms) = 900
# Input mode= 4
# Temp Room_ = 21.7
# Temp Chip_ = 19
# Date 2024-11-29 17:09:27
#Current  diode_1  diode_2  diode_3  diode_4 
       0     8.16     6.93    12.13    25.01 
      10     8.09     6.90    12.10    25.00 
      20     8.11     6.92    12.03    25.07 
      30     8.10     6.93    11.97    25.20 
      40     8.05     6.94    11.94    25.26 
      50     8.00     6.92    11.84    25.46 
      60     7.94     6.92    11.72    25.48 
      70     7.88     6.94    11.64    25.82 
      80     7.80     6.93    11.54    26.03 
      90     7.69     6.93    11.37    26.22 
     100     7.61     6.88    11.21    26.49 
     110     7.52     6.93    10.98    26.79 
     120     7.40     6.94    10.84    27.00 
     130     7.31     6.93    10.66    27.36 
     140     7.19     6.91    10.43    27.87 
     150     7.03     6.92    10.20    28.18 
     160     6.91     6.94     9.93    28.71 
     170     6.75     6.93     9.61    29.22 
     180     6.57     6.90     9.33    29.50 
     190     6.41     6.92     9.04    30.02 
     200     6.21     6.92     8.77    30.56 
     210     6.04     6.92     8.40    31.24 
     220     5.84     6.86     8.08    31.79 
     230     5.62     6.86     7.71    32.33 
     240     5.44     6.89     7.31    33.06 
     250     5.23     6.86     6.93    33.70 
     260     5.01     6.85     6.51    34.35 
     270     4.79     6.82     6.11    35.00 
     280     4.56     6.80     5.68    35.56 
     290     4.33     6.77     5.23    36.34 
     300     4.10     6.74     4.78    37.14 
     310     3.85     6.69     4.37    37.81 
     320     3.62     6.67     3.94    38.55 
     330     3.38     6.64     3.51    39.20 
     340     3.15     6.59     3.09    40.02 
     350     2.91     6.54     2.69    40.59 
     360     2.70     6.47     2.30    41.43 
     370     2.47     6.40     1.93    41.97 
     380     2.26     6.33     1.59    42.72 
     390     2.05     6.24     1.30    43.43 
     400     1.86     6.12     1.01    44.01 
     410     1.68     6.03     0.76    44.67 
     420     1.50     5.95     0.55    45.08 
     430     1.36     5.84     0.40    45.56 
     440     1.21     5.73     0.30    46.03 
     450     1.08     5.59     0.26    46.47 
     460     0.96     5.44     0.29    46.78 
     470     0.86     5.29     0.38    46.97 
     480     0.78     5.15     0.55    47.15 
     490     0.72     5.00     0.80    47.17 
     500     0.68     4.85     1.14    47.01 
     510     0.66     4.71     1.56    47.04 
     520     0.66     4.56     2.05    46.84 
     530     0.67     4.41     2.67    46.39 
     540     0.71     4.27     3.37    45.90 
     550     0.77     4.14     4.17    45.31 
     560     0.85     4.02     5.05    44.56 
     570     0.95     3.93     6.05    43.58 
     580     1.06     3.85     7.20    42.46 
     590     1.19     3.80     8.32    41.33 
     600     1.34     3.78     9.63    40.00 
     610     1.48     3.81    10.94    38.44 
     620     1.65     3.88    12.36    36.70 
     630     1.80     3.99    13.77    34.92 
     640     1.98     4.16    15.13    33.15 
     650     2.15     4.43    16.73    31.07 
     660     2.32     4.76    18.17    28.90 
     670     2.49     5.15    19.51    26.86 
     680     2.64     5.65    20.85    24.76 
     690     2.80     6.19    22.11    22.63 
     700     2.95     6.88    23.25    20.55 
     710     3.08     7.68    24.50    18.37 
     720     3.22     8.58    25.46    16.39 
     730     3.33     9.60    26.06    14.47 
     740     3.43    10.64    26.88    12.57 
