# 915 nm PL_38 Chip Heater Calibration Heater 10
# Chip Num PL 38 Down Structure
# Heater No = 10
# Current from = 0
# Current step = 10
# Current to   = 1300
# sleeptime (ms) = 900
# Input mode= 3
# Temp Room_ = 21.7
# Temp Chip_ = 19
# Date 2023-11-29 16:55:11
#Current  diode_1  diode_2  diode_3  diode_4 
       0     5.40    28.35     8.20    11.31 
      10     5.43    28.36     8.19    11.30 
      20     5.42    28.42     8.14    11.35 
      30     5.43    28.39     8.09    11.40 
      40     5.43    28.39     7.99    11.46 
      50     5.44    28.42     7.90    11.51 
      60     5.44    28.45     7.76    11.61 
      70     5.47    28.46     7.62    11.70 
      80     5.50    28.48     7.48    11.83 
      90     5.51    28.49     7.30    11.92 
     100     5.54    28.52     7.12    12.04 
     110     5.57    28.61     6.92    12.21 
     120     5.59    28.59     6.71    12.39 
     130     5.61    28.56     6.49    12.53 
     140     5.63    28.56     6.26    12.68 
     150     5.66    28.56     6.04    12.90 
     160     5.69    28.54     5.80    13.13 
     170     5.72    28.58     5.57    13.33 
     180     5.75    28.54     5.31    13.58 
     190     5.78    28.47     5.11    13.79 
     200     5.81    28.30     4.87    14.05 
     210     5.84    28.20     4.69    14.25 
     220     5.85    28.18     4.51    14.54 
     230     5.88    27.95     4.36    14.79 
     240     5.90    27.77     4.23    15.08 
     250     5.90    27.66     4.14    15.34 
     260     5.92    27.37     4.09    15.63 
     270     5.94    27.10     4.08    15.90 
     280     5.93    26.76     4.11    16.09 
     290     5.92    26.43     4.20    16.33 
     300     5.92    26.06     4.34    16.61 
     310     5.91    25.64     4.55    16.83 
     320     5.89    25.16     4.83    17.03 
     330     5.85    24.69     5.19    17.19 
     340     5.79    24.15     5.64    17.36 
     350     5.76    23.54     6.17    17.51 
     360     5.68    22.88     6.81    17.55 
     370     5.60    22.27     7.53    17.66 
     380     5.53    21.51     8.34    17.73 
     390     5.42    20.74     9.27    17.65 
     400     5.30    19.99    10.29    17.65 
     410     5.19    19.18    11.34    17.55 
     420     5.04    18.32    12.59    17.35 
     430     4.89    17.47    13.95    17.20 
     440     4.73    16.52    15.50    16.87 
     450     4.53    15.58    17.14    16.55 
     460     4.34    14.54    18.91    16.20 
     470     4.13    13.58    20.66    15.69 
     480     3.91    12.61    22.57    15.21 
     490     3.67    11.58    24.60    14.65 
     500     3.42    10.62    26.76    13.97 
     510     3.17     9.63    28.92    13.30 
     520     2.90     8.68    31.21    12.53 
     530     2.65     7.89    33.40    11.72 
     540     2.38     7.01    35.72    10.90 
     550     2.11     6.18    38.07    10.02 
     560     1.85     5.44    40.28     9.10 
     570     1.60     4.73    42.59     8.24 
     580     1.36     4.08    44.76     7.30 
     590     1.13     3.54    46.87     6.38 
     600     0.92     3.07    48.62     5.52 
     610     0.72     2.66    50.52     4.62 
     620     0.55     2.33    51.96     3.76 
     630     0.41     2.11    53.41     3.03 
     640     0.30     1.95    54.50     2.37 
     650     0.23     1.91    55.13     1.82 
     660     0.19     1.94    55.77     1.38 
     670     0.19     2.04    55.95     1.06 
     680     0.24     2.22    55.80     0.90 
     690     0.33     2.47    55.27     0.90 
     700     0.47     2.78    54.52     1.10 
     710     0.66     3.14    53.25     1.51 
     720     0.88     3.56    51.60     2.13 
     730     1.16     3.97    49.93     2.97 
     740     1.46     4.37    47.75     4.06 
     750     1.80     4.79    45.35     5.40 
     760     2.15     5.18    42.41     6.99 
     770     2.50     5.49    39.61     8.68 
     780     2.90     5.79    36.37    10.72 
     790     3.28     5.98    33.19    12.85 
     800     3.67     6.10    29.68    15.27 
