current        diode_1        diode_2        diode_3        diode_4        
0.001          0.1363078      0.1131694      0.04697084     0.08519062     
0.002          0.1362506      0.1133347      0.04698901     0.0850966      
0.003          0.1372282      0.1132749      0.04709406     0.08459694     
0.004          0.1372582      0.1134641      0.04723743     0.08387613     
0.005          0.1378314      0.113654       0.04711752     0.08310831     
0.006          0.1377293      0.1136398      0.04720407     0.08293071     
0.007          0.1390541      0.1137437      0.04705277     0.08278968     
0.008          0.1394204      0.1138349      0.04713932     0.08177118     
0.009          0.1404906      0.1142739      0.04722852     0.08105733     
0.01           0.1410203      0.1142903      0.04749281     0.080239       
0.011          0.1418563      0.1142948      0.04706796     0.07969058     
0.012          0.1423955      0.1144122      0.04722026     0.07801566     
0.013          0.1431281      0.1142716      0.04751824     0.07782936     
0.014          0.1445659      0.1148886      0.04774784     0.0765793      
0.015          0.1462067      0.114837       0.04770159     0.0755242      
0.016          0.1464626      0.1155406      0.04793449     0.07361774     
0.017          0.1475819      0.1151166      0.04779905     0.07305013     
0.018          0.1489353      0.1154561      0.04802633     0.07160852     
0.019          0.1504045      0.11583        0.04853145     0.07058477     
0.02           0.1512174      0.1158943      0.04813832     0.06855989     
0.021          0.1525926      0.1161381      0.048396       0.06781127     
0.022          0.1545288      0.1160386      0.04861371     0.06582295     
0.023          0.1562948      0.1162577      0.04864278     0.06393386     
0.024          0.1583222      0.116574       0.04862428     0.06292232     
0.025          0.1599044      0.1168544      0.04901806     0.06067287     
0.026          0.1619509      0.1164035      0.0493319      0.05850175     
0.027          0.1640029      0.116408       0.04966193     0.05678331     
0.028          0.1656872      0.11642        0.04943663     0.05584313     
0.029          0.1675553      0.116162       0.04988624     0.05375209     
0.03           0.1698605      0.1163407      0.04994208     0.05281712     
0.031          0.1718648      0.1162106      0.05044587     0.05125713     
0.032          0.1734647      0.1153537      0.05064705     0.04998965     
0.033          0.1752062      0.1154008      0.05066357     0.04870823     
0.034          0.177077       0.1149057      0.05065102     0.04774017     
0.035          0.1789683      0.1142178      0.05082511     0.04637342     
0.036          0.180078       0.1138178      0.05109667     0.04598345     
0.037          0.182872       0.1130288      0.05099426     0.04445477     
0.038          0.1850683      0.1119461      0.05106694     0.04426847     
0.039          0.1866246      0.1113284      0.05129554     0.04397077     
0.04           0.1885635      0.110052       0.05153406     0.04392897     
0.041          0.1901961      0.1095173      0.05157337     0.04480472     
0.042          0.190964       0.1077474      0.05139134     0.04543849     
0.043          0.1923529      0.106545       0.05135204     0.046168       
0.044          0.1934245      0.1045424      0.05117331     0.0473676      
0.045          0.1943926      0.1027485      0.05115878     0.04881267     
0.046          0.195889       0.1008814      0.05081322     0.05118401     
0.047          0.1955091      0.09826268     0.05071907     0.05390183     
0.048          0.1956289      0.09626015     0.05080001     0.05742054     
0.049          0.194447       0.09347024     0.05062029     0.06117082     
0.05           0.1943531      0.09012024     0.05004647     0.06586126     
0.051          0.1928417      0.08699532     0.04971677     0.07071885     
0.052          0.1912581      0.08421437     0.04929722     0.07685437     
0.053          0.1891763      0.08061236     0.04901674     0.08289066     
0.054          0.1866777      0.07646824     0.04858826     0.09109286     
0.055          0.1829006      0.07279295     0.048248       0.09972858     
0.056          0.1788294      0.06894195     0.0477039      0.1089649      
0.057          0.1734102      0.06463332     0.04707688     0.1192529      
0.058          0.1688584      0.0605535      0.04616344     0.1307283      
0.059          0.1638109      0.05642432     0.04574554     0.1402572      
0.06           0.1562322      0.05144494     0.04520871     0.1535329      
0.061          0.1489217      0.04718116     0.04415785     0.1656699      
0.062          0.1412422      0.04321051     0.04299763     0.1773838      
0.063          0.133364       0.03932213     0.04212185     0.1906943      
0.064          0.1243869      0.0350576      0.04051137     0.2052131      
0.065          0.1148611      0.03166273     0.03974725     0.2189885      
0.066          0.1048723      0.02869036     0.03852625     0.2318219      
0.067          0.09420007     0.02586977     0.03707631     0.2462641      
0.068          0.08397032     0.02420375     0.0362111      0.258382       
0.069          0.07392301     0.02332663     0.03535086     0.270122       
0.07           0.06413032     0.02355394     0.03457221     0.2777392      
0.071          0.05505522     0.02473616     0.0338626      0.2853268      
0.072          0.04784689     0.02723295     0.03316852     0.2888229      
0.073          0.04192526     0.03077365     0.03285501     0.2902366      
0.074          0.03752726     0.03577022     0.03298583     0.2891345      
0.075          0.03636989     0.04220477     0.03292273     0.2822224      
0.076          0.03785405     0.04928688     0.03348599     0.2722984      
0.077          0.04317792     0.05815466     0.03448268     0.2563327      
0.078          0.0512645      0.06755409     0.03559829     0.2367979      
0.079          0.06157732     0.07672697     0.0369739      0.2148552      
0.08           0.07741689     0.08644347     0.03879318     0.1875761      
0.081          0.09707306     0.09612481     0.04130257     0.1556675      
0.082          0.1160389      0.1033752      0.0430462      0.1288828      
0.083          0.1360164      0.1092272      0.04536432     0.1024795      
0.084          0.1582814      0.1118489      0.04734976     0.07794429     
0.085          0.1759278      0.1110869      0.04838642     0.06299195     
