current        diode_1        diode_2        diode_3        diode_4        
0.001          0.09290826     0.05219638     0.1573766      0.09117991     
0.002          0.09281102     0.05160582     0.1576122      0.09113117     
0.003          0.09264602     0.05197191     0.1577097      0.09127625     
0.004          0.09294361     0.05188012     0.1572663      0.09184618     
0.005          0.09283755     0.05180725     0.1575124      0.09222108     
0.006          0.09259887     0.05177631     0.1571143      0.09271669     
0.007          0.09241474     0.05138409     0.1565409      0.09345607     
0.008          0.0919816      0.05156525     0.1571062      0.09379151     
0.009          0.09162657     0.05152331     0.1562182      0.09430338     
0.01           0.09174295     0.0514604      0.1570017      0.09460287     
0.011          0.09185785     0.05133528     0.1563424      0.09580768     
0.012          0.09078389     0.05117441     0.1561335      0.0968001      
0.013          0.0911625      0.05101594     0.1559455      0.09748723     
0.014          0.09074559     0.05090594     0.1547186      0.09867348     
0.015          0.09061005     0.05052438     0.15457        0.1001337      
0.016          0.09057175     0.05040716     0.1550204      0.1009787      
0.017          0.09018575     0.05006581     0.1541046      0.1025572      
0.018          0.08984397     0.04978703     0.1541881      0.1038816      
0.019          0.08901162     0.04957769     0.1539142      0.1046732      
0.02           0.08899394     0.04918272     0.1524981      0.1068507      
0.021          0.08881713     0.04901806     0.1523554      0.1080869      
0.022          0.08868454     0.04875887     0.1512121      0.1088019      
0.023          0.08860794     0.04832575     0.1511401      0.1108308      
0.024          0.08832363     0.04819994     0.1498169      0.1123142      
0.025          0.0881321      0.04765199     0.1498714      0.1143524      
0.026          0.08855343     0.04716972     0.1490694      0.1161585      
0.027          0.0881321      0.04688887     0.1478924      0.1178345      
0.028          0.08862267     0.04649803     0.1474815      0.1204322      
0.029          0.08869782     0.04616356     0.146192       0.1225865      
0.03           0.0889247      0.04533547     0.1443871      0.1251656      
0.031          0.08926795     0.04485284     0.1430325      0.1267129      
0.032          0.09032129     0.04411103     0.1413773      0.1286872      
0.033          0.0906616      0.04368857     0.1391882      0.1309425      
0.034          0.0908649      0.04271334     0.1370989      0.1331432      
0.035          0.0919934      0.04198906     0.1348437      0.1352975      
0.036          0.09278304     0.04155594     0.1327834      0.138183       
0.037          0.09318373     0.04100662     0.1309959      0.1408805      
0.038          0.0960418      0.04026034     0.1283413      0.1435131      
0.039          0.09701262     0.03956803     0.1260269      0.1460469      
0.04           0.09974986     0.0387059      0.1235685      0.1483103      
0.041          0.1027228      0.03778122     0.1205286      0.151219       
0.042          0.1038999      0.03677678     0.1171068      0.154317       
0.043          0.1068847      0.0360274      0.114855       0.1579326      
0.044          0.1093596      0.03470294     0.1109399      0.1600521      
0.045          0.1123399      0.03420072     0.1082784      0.1627855      
0.046          0.1155722      0.03299141     0.1044422      0.165439       
0.047          0.1203631      0.03227847     0.1008452      0.167339       
0.048          0.1240093      0.03129053     0.09639152     0.1695583      
0.049          0.1281947      0.03014791     0.09272366     0.1706923      
0.05           0.1340227      0.02917131     0.08804715     0.172871       
0.051          0.1383319      0.02823184     0.08438276     0.1737067      
0.052          0.1444118      0.02734153     0.08007653     0.1735337      
0.053          0.1507054      0.0268156      0.07626937     0.1738657      
0.054          0.1570623      0.02568775     0.07175767     0.1730521      
0.055          0.1636049      0.02480707     0.06669579     0.1723754      
0.056          0.1706866      0.02389578     0.06285965     0.1706854      
0.057          0.1790117      0.02314125     0.05796725     0.1683535      
0.058          0.1855852      0.02263216     0.0539616      0.1659497      
0.059          0.1937792      0.02219009     0.05025313     0.1626242      
0.06           0.2010024      0.0215734      0.04672455     0.1569843      
0.061          0.2083272      0.02126472     0.0435268      0.1524784      
0.062          0.2157861      0.02115987     0.04160115     0.1466934      
0.063          0.2211928      0.02134997     0.0399042      0.1410616      
0.064          0.2291644      0.021758       0.0391126      0.1323052      
0.065          0.2332216      0.0224895      0.03868778     0.124533       
0.066          0.2372965      0.02312819     0.03989723     0.1149595      
0.067          0.2428402      0.02451728     0.04261214     0.1041834      
0.068          0.2447627      0.0255946      0.0457391      0.09437071     
0.069          0.2445359      0.02735218     0.05046437     0.08451974     
0.07           0.2435945      0.02934044     0.05688661     0.07456198     
0.071          0.2409353      0.03160266     0.06556876     0.0633541      
0.072          0.235265       0.03418456     0.07473143     0.05420071     
0.073          0.2268264      0.03726285     0.08405777     0.04585287     
0.074          0.216399       0.03991144     0.09735026     0.03749223     
0.075          0.2033846      0.04304609     0.1088657      0.03211116     
0.076          0.1886524      0.04602538     0.1213353      0.02843867     
0.077          0.1707956      0.04931162     0.1349992      0.02753794     
0.078          0.1540879      0.05124762     0.1471287      0.02920009     
0.079          0.1344514      0.053097       0.1589796      0.03418885     
0.08           0.1179308      0.05486044     0.1674342      0.04280946     
0.081          0.09998999     0.05524234     0.1747641      0.05571544     
0.082          0.0865749      0.05512925     0.1777251      0.06995856     
0.083          0.07824682     0.05403544     0.1765446      0.08762813     
0.084          0.07432808     0.05089906     0.1698624      0.1081739      
0.085          0.07924273     0.04772247     0.1611327      0.126779       
