current        diode_1        diode_2        diode_3        diode_4        
0.001          0.1698698      0.1178782      0.08086818     0.1031569      
0.002          0.1699058      0.1177419      0.08073036     0.1031422      
0.003          0.1700044      0.1176096      0.08093975     0.1031839      
0.004          0.1702695      0.1173505      0.0806434      0.1031864      
0.005          0.1702981      0.1174765      0.08051741     0.1033853      
0.006          0.1706756      0.1177261      0.08045234     0.1036652      
0.007          0.170665       0.1174234      0.08043874     0.1034073      
0.008          0.170736       0.1170502      0.08047364     0.1035915      
0.009          0.1707095      0.1167902      0.08013707     0.1039353      
0.01           0.1712258      0.1167213      0.08010571     0.1038493      
0.011          0.1713997      0.1168632      0.07977919     0.1040556      
0.012          0.1718397      0.1162902      0.07942724     0.1056073      
0.013          0.1716722      0.1163948      0.07937992     0.1055484      
0.014          0.1722363      0.1161848      0.07895403     0.105875       
0.015          0.1726         0.1158457      0.07878309     0.1063955      
0.016          0.1734672      0.1157007      0.07860148     0.1064446      
0.017          0.1736199      0.1151389      0.07810698     0.1065552      
0.018          0.1739412      0.1146563      0.0780076      0.1065576      
0.019          0.1748668      0.1145311      0.07752729     0.1066165      
0.02           0.1749643      0.1140889      0.07701622     0.1068891      
0.021          0.1755379      0.1136769      0.07642765     0.1074612      
0.022          0.1757691      0.113329       0.07619992     0.1089368      
0.023          0.1765081      0.1129423      0.07559835     0.1096464      
0.024          0.1766809      0.112386       0.07513637     0.1100344      
0.025          0.1775959      0.1120667      0.07468741     0.1102946      
0.026          0.1774104      0.1112608      0.07388946     0.1131527      
0.027          0.1779585      0.111161       0.07327368     0.11385        
0.028          0.1782035      0.1104684      0.07292823     0.1161973      
0.029          0.1781716      0.1098131      0.0720031      0.1171991      
0.03           0.1779978      0.1088463      0.07114599     0.120288       
0.031          0.1780359      0.1083186      0.07065681     0.1222154      
0.032          0.1779606      0.1073495      0.06947496     0.1244154      
0.033          0.1779257      0.1062219      0.06842679     0.1273667      
0.034          0.1774973      0.1054247      0.06738453     0.1306348      
0.035          0.1776606      0.1041497      0.06585723     0.1339618      
0.036          0.1771326      0.1031188      0.06491849     0.1374951      
0.037          0.1767413      0.1018699      0.06356687     0.1414335      
0.038          0.1766311      0.1006528      0.06201473     0.1462043      
0.039          0.175258       0.09957433     0.06092161     0.1511199      
0.04           0.1748509      0.09798159     0.05909204     0.1559913      
0.041          0.1732435      0.09639439     0.05768009     0.1613759      
0.042          0.1721981      0.09468437     0.05594517     0.1660141      
0.043          0.1701889      0.09285311     0.05424691     0.1725895      
0.044          0.1690989      0.09109633     0.05216656     0.1791895      
0.045          0.1670388      0.08933956     0.0505316      0.1863886      
0.046          0.164719       0.08731812     0.04886056     0.1932047      
0.047          0.1615636      0.08487115     0.04696119     0.2026701      
0.048          0.1588143      0.08299155     0.04512216     0.2103652      
0.049          0.1557904      0.08041464     0.04323699     0.2175201      
0.05           0.1524103      0.07747954     0.04094901     0.2291708      
0.051          0.1484121      0.07487649     0.03885799     0.237519       
0.052          0.1446598      0.07290021     0.03702014     0.2478732      
0.053          0.1397942      0.06992311     0.035064       0.2594723      
0.054          0.1348639      0.06704428     0.03278606     0.2714422      
0.055          0.1300026      0.0645989      0.03066251     0.2815362      
0.056          0.1254127      0.06185875     0.02897018     0.2922366      
0.057          0.1188582      0.05944191     0.02682533     0.305908       
0.058          0.1127637      0.05653692     0.02521463     0.3161149      
0.059          0.1066979      0.05402103     0.02382161     0.3265355      
0.06           0.09952841     0.05151859     0.02223634     0.3396668      
0.061          0.0934679      0.04971744     0.02127039     0.3505391      
0.062          0.0868158      0.04748997     0.02037601     0.3609031      
0.063          0.08013822     0.04565237     0.0196449      0.3712451      
0.064          0.07266334     0.04396058     0.01944733     0.3813072      
0.065          0.06602605     0.04301681     0.01976676     0.3897167      
0.066          0.05968883     0.04253264     0.02040677     0.3953813      
0.067          0.05218003     0.04221252     0.02150759     0.3998377      
0.068          0.04646411     0.04292965     0.02312599     0.4016522      
0.069          0.04198025     0.04387975     0.02540451     0.3991208      
0.07           0.03817283     0.04607314     0.02822369     0.3962111      
0.071          0.03477255     0.04856844     0.03186624     0.3895228      
0.072          0.03342919     0.05200433     0.03519768     0.3803447      
0.073          0.03382573     0.05615419     0.03914547     0.3678272      
0.074          0.03456898     0.06090468     0.04433722     0.350625       
0.075          0.03799894     0.06663699     0.04870499     0.3300442      
0.076          0.04332785     0.07286929     0.05398843     0.3088324      
0.077          0.05066703     0.08031479     0.06005859     0.2793534      
0.078          0.06075335     0.08830784     0.06502793     0.2499431      
0.079          0.07118214     0.0958508      0.06917743     0.2200098      
0.08           0.08286417     0.1021378      0.07281053     0.190548       
0.081          0.0980716      0.1088447      0.07551553     0.1615625      
0.082          0.111379       0.1131634      0.0763129      0.1382391      
0.083          0.1246016      0.1166619      0.07675772     0.1172875      
0.084          0.1394698      0.1188695      0.07476491     0.1041366      
0.085          0.1497247      0.1175771      0.07146896     0.1014627      
