current        diode_1        diode_2        diode_3        diode_4        
0.001          0.0844503      0.1025705      0.04910126     0.1854141      
0.002          0.08412069     0.1025512      0.04900125     0.1851268      
0.003          0.08413071     0.1027345      0.04910499     0.1847279      
0.004          0.08402675     0.1030949      0.04899749     0.1849825      
0.005          0.08347075     0.1032243      0.04911624     0.1857504      
0.006          0.08375183     0.1029509      0.04895001     0.1861317      
0.007          0.08312805     0.1029671      0.048875       0.1863686      
0.008          0.08283389     0.1029525      0.04898624     0.1876499      
0.009          0.082522       0.1029686      0.0488875      0.1872291      
0.01           0.08224477     0.1030903      0.04866375     0.187609       
0.011          0.08145387     0.1031327      0.04880875     0.1886425      
0.012          0.08084782     0.1036117      0.04855126     0.1884791      
0.013          0.08038192     0.1039636      0.0487075      0.1885363      
0.014          0.0799707      0.1036371      0.04877126     0.1894567      
0.015          0.07934076     0.1035331      0.04826626     0.1903922      
0.016          0.0780986      0.1041384      0.04879123     0.1905079      
0.017          0.07748868     0.1043094      0.04851999     0.1916326      
0.018          0.07668857     0.104267       0.04847499     0.1911424      
0.019          0.07591309     0.1046821      0.04873        0.1913957      
0.02           0.07498127     0.1047137      0.04863        0.1927927      
0.021          0.07405256     0.1046382      0.04892876     0.1937526      
0.022          0.07288741     0.1043294      0.04888499     0.1939024      
0.023          0.07184625     0.1046089      0.04916248     0.1945287      
0.024          0.0704755      0.1043225      0.04911624     0.1942945      
0.025          0.06925876     0.1042793      0.05006251     0.1949794      
0.026          0.0678387      0.1044942      0.05006251     0.1960061      
0.027          0.06639479     0.1042077      0.05049749     0.1956725      
0.028          0.06524581     0.1042424      0.0512425      0.1964758      
0.029          0.06330365     0.1039035      0.05208501     0.1963111      
0.03           0.06151088     0.1037356      0.05256251     0.1969687      
0.031          0.0601894      0.1034884      0.05356125     0.1969061      
0.032          0.05872085     0.1027353      0.05428749     0.1979886      
0.033          0.05692653     0.1021539      0.05553999     0.196435       
0.034          0.05500671     0.1020592      0.056205       0.1969415      
0.035          0.053609       0.100971       0.05799        0.196499       
0.036          0.0513457      0.1001085      0.05939001     0.196258       
0.037          0.04942356     0.09933151     0.0612975      0.1959053      
0.038          0.04746369     0.09829573     0.06318999     0.1946077      
0.039          0.04512414     0.09735546     0.0659775      0.1944157      
0.04           0.04322819     0.09658844     0.06824874     0.1924577      
0.041          0.04111969     0.09522231     0.070935       0.190817       
0.042          0.03923527     0.0938862      0.0735475      0.1879862      
0.043          0.03660311     0.09201258     0.07697874     0.1867458      
0.044          0.03482267     0.09014973     0.08030875     0.1835065      
0.045          0.03295982     0.08823682     0.08385874     0.1811196      
0.046          0.03082359     0.08594427     0.08773124     0.1786769      
0.047          0.02907241     0.0837526      0.09262874     0.1741523      
0.048          0.02736435     0.08156324     0.09765        0.1705522      
0.049          0.02593661     0.07880709     0.1014512      0.1658724      
0.05           0.02447036     0.07556424     0.1071025      0.1616446      
0.051          0.02349466     0.07255474     0.1121813      0.1567046      
0.052          0.02244348     0.06975468     0.1173675      0.1512106      
0.053          0.02144313     0.06688841     0.12343        0.1453243      
0.054          0.02112354     0.06355778     0.1306225      0.138071       
0.055          0.02099032     0.06006927     0.1365525      0.1309376      
0.056          0.02099187     0.05697737     0.1430037      0.1236271      
0.057          0.0218405      0.05260788     0.1495762      0.1160525      
0.058          0.02312655     0.04912169     0.1559         0.107119       
0.059          0.02440875     0.04531976     0.1624775      0.09946948     
0.06           0.02640791     0.04128757     0.1698137      0.09007031     
0.061          0.02916021     0.037749       0.1754875      0.06941064     
0.062          0.03225365     0.03425973     0.1811987      0.07346959     
0.063          0.0358723      0.03105385     0.1859912      0.06523595     
0.064          0.0404682      0.02820143     0.190715       0.05665649     
0.065          0.04543911     0.02561856     0.1941412      0.04950121     
0.066          0.05074965     0.02370412     0.196075       0.04258972     
0.067          0.0571229      0.02229409     0.19817        0.03613704     
0.068          0.06291398     0.02165183     0.1978725      0.03196102     
0.069          0.06938195     0.02168649     0.19663        0.02878439     
0.07           0.07605093     0.0230996      0.193605       0.02710961     
0.071          0.08346228     0.02540294     0.1876888      0.02747724     
0.072          0.0895968      0.02879595     0.1819813      0.03045779     
0.073          0.09620263     0.03299448     0.1740475      0.0352806      
0.074          0.102569       0.03922142     0.1616575      0.04340803     
0.075          0.1069431      0.04621536     0.1507175      0.05293657     
0.076          0.1100796      0.05378458     0.1366025      0.06605022     
0.077          0.1118185      0.06230253     0.1198525      0.08160656     
0.078          0.111395       0.07109849     0.1051387      0.09878869     
0.079          0.1092918      0.07966805     0.08957374     0.1161737      
0.08           0.104786       0.08770315     0.07514626     0.1346997      
0.081          0.09666777     0.09578524     0.06078251     0.1556753      
0.082          0.08769546     0.1015694      0.05205374     0.1715707      
0.083          0.07637129     0.1049832      0.04651375     0.1860677      
0.084          0.06257206     0.1063486      0.04713875     0.1943218      
0.085          0.05002731     0.1032428      0.05340624     0.19735        
