current        diode_1        diode_2        diode_3        diode_4        
0.001          0.1679263      0.12015        0.08371285     0.09904999     
0.002          0.1678661      0.1201679      0.08343054     0.09936938     
0.003          0.1678248      0.1202394      0.08361039     0.09923625     
0.004          0.1680525      0.1204699      0.08372196     0.09911249     
0.005          0.1674542      0.1201441      0.08370318     0.0987         
0.006          0.167846       0.1198898      0.08408226     0.09875874     
0.007          0.1673348      0.1196375      0.08412324     0.09853562     
0.008          0.1672913      0.1200666      0.08442093     0.09836125     
0.009          0.1671618      0.1196871      0.08461731     0.09829313     
0.01           0.1670748      0.1200388      0.08468049     0.09792874     
0.011          0.1671272      0.1203486      0.08496395     0.09790249     
0.012          0.1673728      0.1200487      0.08527416     0.09734687     
0.013          0.167          0.1198639      0.08558836     0.09688312     
0.014          0.1667533      0.1202791      0.08581091     0.09677812     
0.015          0.1659353      0.1204281      0.08597427     0.096595       
0.016          0.1657221      0.1201123      0.08677513     0.09637436     
0.017          0.1653761      0.120009       0.08681326     0.0960075      
0.018          0.1655402      0.1204202      0.08704265     0.09583312     
0.019          0.1647868      0.1204142      0.08767503     0.09530812     
0.02           0.1640714      0.1204838      0.08797444     0.0948775      
0.021          0.1638482      0.1215446      0.08797556     0.09425937     
0.022          0.1636484      0.1218386      0.08853167     0.09374687     
0.023          0.1625513      0.1221803      0.0888453      0.09354124     
0.024          0.1623504      0.1223194      0.08929326     0.09276813     
0.025          0.1612344      0.1230802      0.08940368     0.09217186     
0.026          0.1608627      0.1245642      0.08990173     0.09105875     
0.027          0.1596451      0.1251404      0.09019601     0.0903775      
0.028          0.1589107      0.1267177      0.09072535     0.089485       
0.029          0.157606       0.1279454      0.09062574     0.08819249     
0.03           0.1554877      0.1291831      0.09138335     0.08700625     
0.031          0.1542422      0.1306055      0.09197531     0.08594625     
0.032          0.1527165      0.1311916      0.09205671     0.08494875     
0.033          0.1505636      0.1335477      0.09236122     0.08404562     
0.034          0.1486417      0.1359078      0.0925559      0.0827775      
0.035          0.1470837      0.1388201      0.09254849     0.08157562     
0.036          0.1453237      0.1413133      0.09248473     0.08048063     
0.037          0.1434989      0.1441741      0.09201231     0.07892812     
0.038          0.1410324      0.1473705      0.09184553     0.07742312     
0.039          0.1387132      0.1502074      0.09168331     0.07555562     
0.04           0.1359085      0.1534853      0.09132984     0.07366499     
0.041          0.1327121      0.1584597      0.09121429     0.07147687     
0.042          0.1293393      0.1613463      0.09123308     0.06967062     
0.043          0.1257065      0.1665889      0.09041116     0.06785312     
0.044          0.1227444      0.1722249      0.08924715     0.06569125     
0.045          0.1191451      0.1773563      0.08794483     0.06377688     
0.046          0.115673       0.1833619      0.08699029     0.06121874     
0.047          0.1106674      0.1889184      0.08547338     0.05807938     
0.048          0.1061976      0.1947431      0.08468788     0.05543375     
0.049          0.1016942      0.2010943      0.08326945     0.05330938     
0.05           0.09681918     0.2086315      0.08179352     0.05086875     
0.051          0.09200559     0.215982       0.07956456     0.04809875     
0.052          0.08741629     0.2229529      0.07712498     0.04568187     
0.053          0.0826663      0.2309153      0.07435812     0.04277        
0.054          0.07684598     0.2396504      0.07196179     0.03969125     
0.055          0.07168193     0.2478372      0.0695928      0.03704062     
0.056          0.0670279      0.2562187      0.06662103     0.03464125     
0.057          0.06128795     0.2664398      0.06295028     0.03212812     
0.058          0.05605357     0.2753497      0.05950949     0.02959875     
0.059          0.05157254     0.2835326      0.05596624     0.02738375     
0.06           0.04700783     0.2913677      0.05245372     0.02533062     
0.061          0.04310937     0.2985175      0.04940967     0.02407        
0.062          0.03987947     0.3070619      0.04538886     0.02279874     
0.063          0.03711496     0.3139336      0.04149613     0.0219775      
0.064          0.03514509     0.3188524      0.03754818     0.02141437     
0.065          0.03413169     0.3226747      0.03454112     0.02155125     
0.066          0.03426898     0.3252732      0.03137411     0.02238062     
0.067          0.03485715     0.3278498      0.02800845     0.02372312     
0.068          0.03726227     0.3254202      0.02525809     0.02591812     
0.069          0.04048772     0.322917       0.02332738     0.02851813     
0.07           0.04535155     0.3198517      0.02151335     0.03154625     
0.071          0.05178683     0.3123542      0.0207825      0.03647125     
0.072          0.05968637     0.3031841      0.02090716     0.04126563     
0.073          0.06873884     0.2921505      0.02168353     0.04701813     
0.074          0.07983148     0.2758265      0.02397399     0.05366687     
0.075          0.0907634      0.2582569      0.02697991     0.060385       
0.076          0.1026641      0.2393444      0.03047363     0.0673975      
0.077          0.1153761      0.2169534      0.03612063     0.07516875     
0.078          0.1277042      0.1953788      0.04209776     0.08140875     
0.079          0.1383583      0.1760114      0.04856042     0.08651812     
0.08           0.1461473      0.1582869      0.05560992     0.09110562     
0.081          0.1550737      0.1402565      0.06377505     0.09457874     
0.082          0.1592243      0.1300016      0.07063045     0.09621625     
0.083          0.1578906      0.1224267      0.07644478     0.09599812     
0.084          0.1525893      0.1238729      0.08126304     0.09209687     
0.085          0.141769       0.1338437      0.08316699     0.08605437     
