# 915 nm PL_38 Chip Heater Calibration Heater 10
# Chip Num PL 38 Down Structure
# Heater No = 10
# Current from = 0
# Current step = 10
# Current to   = 1300
# sleeptime (ms) = 900
# Input mode= 4
# Temp Room_ = 21.7
# Temp Chip_ = 19
# Date 2024-11-29 17:02:18
#Current  diode_1  diode_2  diode_3  diode_4 
       0     8.57     6.49    11.97    25.95 
      10     8.58     6.47    11.97    26.09 
      20     8.57     6.45    12.02    26.01 
      30     8.63     6.41    11.99    26.02 
      40     8.62     6.42    12.11    26.04 
      50     8.65     6.39    12.22    26.00 
      60     8.66     6.31    12.29    25.81 
      70     8.72     6.30    12.40    25.64 
      80     8.76     6.26    12.49    25.70 
      90     8.79     6.19    12.70    25.51 
     100     8.86     6.14    12.85    25.50 
     110     8.86     6.06    13.02    25.28 
     120     8.94     6.00    13.18    25.14 
     130     8.99     5.94    13.41    24.91 
     140     9.06     5.86    13.59    24.75 
     150     9.15     5.78    13.83    24.52 
     160     9.18     5.72    14.00    24.18 
     170     9.24     5.65    14.28    23.85 
     180     9.32     5.59    14.56    23.62 
     190     9.40     5.52    14.83    23.22 
     200     9.48     5.48    15.03    22.95 
     210     9.56     5.43    15.33    22.46 
     220     9.64     5.39    15.63    22.13 
     230     9.74     5.38    15.90    21.65 
     240     9.83     5.37    16.16    21.24 
     250     9.92     5.41    16.45    20.72 
     260    10.02     5.44    16.68    20.27 
     270    10.04     5.47    16.93    19.54 
     280    10.12     5.58    17.23    18.95 
     290    10.22     5.71    17.45    18.42 
     300    10.21     5.88    17.71    17.90 
     310    10.32     6.06    17.97    17.32 
     320    10.38     6.31    18.15    16.71 
     330    10.46     6.57    18.33    15.90 
     340    10.54     6.88    18.44    15.26 
     350    10.64     7.28    18.64    14.71 
     360    10.73     7.69    18.76    14.07 
     370    10.83     8.21    18.90    13.45 
     380    10.94     8.74    18.93    12.80 
     390    11.01     9.38    18.95    12.11 
     400    11.12     9.98    18.90    11.54 
     410    11.14    10.71    18.83    10.76 
     420    11.19    11.55    18.66    10.02 
     430    11.22    12.41    18.46     9.29 
     440    11.26    13.43    18.18     8.52 
     450    11.36    14.49    17.92     8.07 
     460    11.42    15.64    17.49     7.49 
     470    11.43    16.86    17.08     6.84 
     480    11.47    18.12    16.57     6.25 
     490    11.48    19.43    15.90     5.62 
     500    11.43    20.78    15.28     5.04 
     510    11.38    22.16    14.45     4.48 
     520    11.33    23.55    13.73     4.00 
     530    11.25    25.04    12.81     3.52 
     540    11.13    26.45    11.86     3.07 
     550    11.01    27.97    10.88     2.68 
     560    10.89    29.41     9.88     2.35 
     570    10.74    30.93     8.84     2.05 
     580    10.60    32.31     7.93     1.81 
     590    10.45    33.77     6.92     1.60 
     600    10.25    35.06     5.92     1.47 
     610    10.08    36.46     4.99     1.37 
     620     9.87    37.72     4.13     1.32 
     630     9.66    38.79     3.32     1.31 
     640     9.47    40.04     2.61     1.34 
     650     9.27    40.99     2.01     1.41 
     660     9.01    41.68     1.54     1.50 
     670     8.75    42.42     1.23     1.63 
     680     8.63    42.93     1.07     1.77 
     690     8.35    43.18     1.09     1.91 
     700     8.01    43.22     1.33     2.07 
     710     7.66    42.89     1.76     2.22 
     720     7.31    42.46     2.39     2.34 
     730     6.94    41.74     3.27     2.46 
     740     6.55    40.74     4.40     2.55 
     750     6.13    39.48     5.90     2.62 
     760     5.74    38.20     7.59     2.64 
     770     5.35    36.75     9.49     2.63 
     780     4.96    35.02    11.66     2.58 
     790     4.55    33.21    14.13     2.48 
     800     4.18    31.39    16.81     2.34 
     810     3.79    29.22    19.80     2.14 
     820     3.40    27.12    22.73     1.95 
     830     3.05    24.92    25.59     1.73 
     840     2.68    22.60    28.72     1.48 
     850     2.33    20.12    32.03     1.23 
     860     2.00    17.71    35.10     1.00 
     870     1.73    15.38    37.80     0.83 
     880     1.48    13.22    40.30     0.72 
     890     1.30    11.07    42.51     0.69 
     900     1.13     9.03    44.68     0.78 
     910     1.04     7.49    46.15     1.01 
     920     0.99     6.00    47.43     1.38 
     930     0.99     4.50    48.60     2.02 
     940     1.05     3.40    49.18     2.82 
     950     1.17     2.35    48.88     3.98 
     960     1.33     1.65    48.17     5.17 
     970     1.54     1.05    46.95     6.81 
     980     1.80     0.62    44.95     8.78 
     990     2.07     0.38    42.34    10.83 
    1000     2.39     0.28    39.39    13.19 
    1010     2.72     0.33    36.07    15.86 
    1020     3.06     0.48    32.75    18.57 
    1030     3.41     0.73    28.99    21.65 
    1040     3.75     1.06    25.21    24.92 
    1050     4.04     1.42    21.68    28.14 
    1060     4.29     1.83    18.14    31.22 
    1070     4.48     2.24    14.71    34.27 
    1080     4.58     2.69    11.32    37.14 
    1090     4.60     3.11     8.76    39.33 
    1100     4.54     3.54     6.28    41.38 
    1110     4.36     3.98     4.32    42.86 
    1120     4.10     4.44     3.04    44.06 
    1130     3.82     4.92     2.51    44.41 
    1140     3.46     5.50     2.53    44.58 
    1150     3.07     6.10     3.15    44.10 
    1160     2.68     6.82     4.26    43.08 
    1170     2.25     7.61     5.98    41.11 
    1180     1.83     8.43     7.97    38.59 
    1190     1.48     9.33    10.15    35.48 
    1200     1.19    10.20    12.46    32.14 
    1210     0.98    11.19    15.05    28.22 
    1220     0.90    12.15    17.34    24.74 
    1230     0.93    13.26    19.62    21.15 
    1240     1.12    14.40    21.71    17.75 
    1250     1.44    15.50    23.22    14.93 
    1260     1.87    16.50    24.22    12.32 
    1270     2.41    17.22    24.72    10.33 
    1280     3.07    17.60    24.30     9.00 
    1290     3.90    17.81    23.13     8.41 
    1300     4.65    17.65    21.52     8.67 
